NUISANCE_PARAMETERS
BB  0.609189 +0.0415752 -0.0415752
BL  0.791582 +0.0336003 -0.0336003
CC  1.16843 +0.173022 -0.173022
CL  0.907593 +0.0870298 -0.0870298
LL  0.695381 +0.0176205 -0.0176205
ScaleFactor  1.17455 +0.0763442 -0.0763442
gamma_stat_mjmeanSd0_2TAG_bin_0  1.00153 +0.0887366 -0.0887366
gamma_stat_mjmeanSd0_2TAG_bin_1  0.948543 +0.169137 -0.169137
gamma_stat_mjmeanSd0_2TAG_bin_10  1.01404 +0.0304069 -0.0304069
gamma_stat_mjmeanSd0_2TAG_bin_11  1.01429 +0.0256772 -0.0256772
gamma_stat_mjmeanSd0_2TAG_bin_12  1.00782 +0.0222782 -0.0222782
gamma_stat_mjmeanSd0_2TAG_bin_18  0.997631 +0.0203294 -0.0203294
gamma_stat_mjmeanSd0_2TAG_bin_19  0.999255 +0.021459 -0.021459
gamma_stat_mjmeanSd0_2TAG_bin_2  0.995682 +0.0773551 -0.0773551
gamma_stat_mjmeanSd0_2TAG_bin_20  0.99567 +0.0240607 -0.0240607
gamma_stat_mjmeanSd0_2TAG_bin_21  0.99597 +0.0259669 -0.0259669
gamma_stat_mjmeanSd0_2TAG_bin_22  1.00084 +0.0274026 -0.0274026
gamma_stat_mjmeanSd0_2TAG_bin_23  0.997434 +0.0204355 -0.0204355
gamma_stat_mjmeanSd0_2TAG_bin_24  0.994023 +0.0332824 -0.0332824
gamma_stat_mjmeanSd0_2TAG_bin_25  0.998074 +0.0211202 -0.0211202
gamma_stat_mjmeanSd0_2TAG_bin_26  0.999091 +0.0322701 -0.0322701
gamma_stat_mjmeanSd0_2TAG_bin_27  0.999562 +0.0274449 -0.0274449
gamma_stat_mjmeanSd0_2TAG_bin_3  0.985744 +0.0881134 -0.0881134
gamma_stat_mjmeanSd0_2TAG_bin_4  1.01158 +0.0780256 -0.0780256
gamma_stat_mjmeanSd0_2TAG_bin_5  1.00776 +0.0498202 -0.0498202
gamma_stat_mjmeanSd0_2TAG_bin_6  1.0312 +0.0686225 -0.0686225
gamma_stat_mjmeanSd0_2TAG_bin_7  1.00016 +0.0432667 -0.0432667
gamma_stat_mjmeanSd0_2TAG_bin_8  1.0139 +0.0402744 -0.0402744
gamma_stat_mjmeanSd0_2TAG_bin_9  1.00996 +0.0372546 -0.0372546
gamma_stat_mjmeanSd0_bin_0  1.02415 +0.129105 -0.129105
gamma_stat_mjmeanSd0_bin_1  1.01968 +0.121551 -0.121551
gamma_stat_mjmeanSd0_bin_10  0.998139 +0.048864 -0.048864
gamma_stat_mjmeanSd0_bin_11  1.01019 +0.0374136 -0.0374136
gamma_stat_mjmeanSd0_bin_12  1.0214 +0.0335555 -0.0335555
gamma_stat_mjmeanSd0_bin_13  0.997172 +0.0294399 -0.0294399
gamma_stat_mjmeanSd0_bin_14  0.999349 +0.023427 -0.023427
gamma_stat_mjmeanSd0_bin_15  0.997424 +0.0201489 -0.0201489
gamma_stat_mjmeanSd0_bin_2  1.0137 +0.104896 -0.104896
gamma_stat_mjmeanSd0_bin_3  0.980163 +0.0942092 -0.0942092
gamma_stat_mjmeanSd0_bin_31  0.989198 +0.0238492 -0.0238492
gamma_stat_mjmeanSd0_bin_32  1.00111 +0.0222858 -0.0222858
gamma_stat_mjmeanSd0_bin_33  0.98781 +0.0238367 -0.0238367
gamma_stat_mjmeanSd0_bin_34  0.997589 +0.024294 -0.024294
gamma_stat_mjmeanSd0_bin_35  1.00328 +0.0280838 -0.0280838
gamma_stat_mjmeanSd0_bin_36  1.00278 +0.0304205 -0.0304205
gamma_stat_mjmeanSd0_bin_37  0.955344 +0.0527621 -0.0527621
gamma_stat_mjmeanSd0_bin_38  0.995747 +0.0342575 -0.0342575
gamma_stat_mjmeanSd0_bin_39  0.993217 +0.0360685 -0.0360685
gamma_stat_mjmeanSd0_bin_4  1.01114 +0.0850327 -0.0850327
gamma_stat_mjmeanSd0_bin_40  0.994745 +0.0418026 -0.0418026
gamma_stat_mjmeanSd0_bin_41  0.984775 +0.0432263 -0.0432263
gamma_stat_mjmeanSd0_bin_42  0.998896 +0.0458905 -0.0458905
gamma_stat_mjmeanSd0_bin_43  0.996667 +0.0507739 -0.0507739
gamma_stat_mjmeanSd0_bin_44  1.01489 +0.0558375 -0.0558375
gamma_stat_mjmeanSd0_bin_45  1.00446 +0.0513763 -0.0513763
gamma_stat_mjmeanSd0_bin_46  0.997044 +0.0671671 -0.0671671
gamma_stat_mjmeanSd0_bin_47  1.0097 +0.073254 -0.073254
gamma_stat_mjmeanSd0_bin_48  0.995741 +0.0669085 -0.0669085
gamma_stat_mjmeanSd0_bin_49  0.946375 +0.138055 -0.138055
gamma_stat_mjmeanSd0_bin_5  1.00194 +0.0732671 -0.0732671
gamma_stat_mjmeanSd0_bin_50  1.02415 +0.112238 -0.112238
gamma_stat_mjmeanSd0_bin_51  1.00742 +0.0998446 -0.0998446
gamma_stat_mjmeanSd0_bin_6  1.00475 +0.0988223 -0.0988223
gamma_stat_mjmeanSd0_bin_7  1.00664 +0.0787379 -0.0787379
gamma_stat_mjmeanSd0_bin_8  1.01404 +0.0495037 -0.0495037
gamma_stat_mjmeanSd0_bin_9  0.986287 +0.0537728 -0.0537728
gamma_stat_nmjmeanSd0_2TAG_bin_0  1.00658 +0.15295 -0.15295
gamma_stat_nmjmeanSd0_2TAG_bin_1  0.999671 +0.0910884 -0.0910884
gamma_stat_nmjmeanSd0_2TAG_bin_15  1.00081 +0.0228361 -0.0228361
gamma_stat_nmjmeanSd0_2TAG_bin_16  0.99405 +0.0256921 -0.0256921
gamma_stat_nmjmeanSd0_2TAG_bin_17  0.997667 +0.0263448 -0.0263448
gamma_stat_nmjmeanSd0_2TAG_bin_18  0.99306 +0.0249249 -0.0249249
gamma_stat_nmjmeanSd0_2TAG_bin_19  0.993901 +0.0315512 -0.0315512
gamma_stat_nmjmeanSd0_2TAG_bin_2  1.01893 +0.113532 -0.113532
gamma_stat_nmjmeanSd0_2TAG_bin_20  0.996372 +0.0274219 -0.0274219
gamma_stat_nmjmeanSd0_2TAG_bin_21  0.994698 +0.0324325 -0.0324325
gamma_stat_nmjmeanSd0_2TAG_bin_22  0.999654 +0.032032 -0.032032
gamma_stat_nmjmeanSd0_2TAG_bin_23  0.997785 +0.0362665 -0.0362665
gamma_stat_nmjmeanSd0_2TAG_bin_24  1.00006 +0.0444546 -0.0444546
gamma_stat_nmjmeanSd0_2TAG_bin_25  1.00561 +0.0406251 -0.0406251
gamma_stat_nmjmeanSd0_2TAG_bin_26  0.997072 +0.031689 -0.031689
