NUISANCE_PARAMETERS
BB  0.598377 +0.0597151 -0.0597151
BL  0.612635 +0.055425 -0.055425
CC  0.539514 +0.226343 -0.226343
CL  1.10556 +0.144151 -0.144151
LL  0.707863 +0.0287703 -0.0287703
ScaleFactor  0.965291 +0.0901373 -0.0901373
gamma_stat_mjmeanSd0_2TAG_bin_0  1.00085 +0.124007 -0.124007
gamma_stat_mjmeanSd0_2TAG_bin_1  1.00384 +0.112868 -0.112868
gamma_stat_mjmeanSd0_2TAG_bin_10  1.01316 +0.0437497 -0.0437497
gamma_stat_mjmeanSd0_2TAG_bin_11  1.00714 +0.0413146 -0.0413146
gamma_stat_mjmeanSd0_2TAG_bin_12  0.998161 +0.0275889 -0.0275889
gamma_stat_mjmeanSd0_2TAG_bin_13  1.00092 +0.0245813 -0.0245813
gamma_stat_mjmeanSd0_2TAG_bin_14  1.00007 +0.0230313 -0.0230313
gamma_stat_mjmeanSd0_2TAG_bin_15  1.00056 +0.0236734 -0.0236734
gamma_stat_mjmeanSd0_2TAG_bin_16  1.00015 +0.0254488 -0.0254488
gamma_stat_mjmeanSd0_2TAG_bin_17  1.00275 +0.0265251 -0.0265251
gamma_stat_mjmeanSd0_2TAG_bin_18  1.00067 +0.0268462 -0.0268462
gamma_stat_mjmeanSd0_2TAG_bin_19  1.00309 +0.0281642 -0.0281642
gamma_stat_mjmeanSd0_2TAG_bin_2  0.991747 +0.107921 -0.107921
gamma_stat_mjmeanSd0_2TAG_bin_20  0.994553 +0.031266 -0.031266
gamma_stat_mjmeanSd0_2TAG_bin_21  0.998474 +0.0325025 -0.0325025
gamma_stat_mjmeanSd0_2TAG_bin_22  0.999265 +0.0374015 -0.0374015
gamma_stat_mjmeanSd0_2TAG_bin_23  1.00015 +0.0272561 -0.0272561
gamma_stat_mjmeanSd0_2TAG_bin_24  0.999032 +0.043723 -0.043723
gamma_stat_mjmeanSd0_2TAG_bin_25  1.00378 +0.0454245 -0.0454245
gamma_stat_mjmeanSd0_2TAG_bin_26  0.991415 +0.0473034 -0.0473034
gamma_stat_mjmeanSd0_2TAG_bin_27  0.99164 +0.0450512 -0.0450512
gamma_stat_mjmeanSd0_2TAG_bin_28  1.00092 +0.0372928 -0.0372928
gamma_stat_mjmeanSd0_2TAG_bin_29  0.997064 +0.045052 -0.045052
gamma_stat_mjmeanSd0_2TAG_bin_3  1.01199 +0.123802 -0.123802
gamma_stat_mjmeanSd0_2TAG_bin_30  0.999707 +0.0359936 -0.0359936
gamma_stat_mjmeanSd0_2TAG_bin_4  0.998933 +0.104091 -0.104091
gamma_stat_mjmeanSd0_2TAG_bin_5  1.01056 +0.097636 -0.097636
gamma_stat_mjmeanSd0_2TAG_bin_6  0.996705 +0.0742256 -0.0742256
gamma_stat_mjmeanSd0_2TAG_bin_7  1.00307 +0.0882026 -0.0882026
gamma_stat_mjmeanSd0_2TAG_bin_8  1.00349 +0.0663467 -0.0663467
gamma_stat_mjmeanSd0_2TAG_bin_9  1.02044 +0.0557698 -0.0557698
gamma_stat_mjmeanSd0_bin_0  0.99554 +0.139579 -0.139579
gamma_stat_mjmeanSd0_bin_1  1.01824 +0.223949 -0.223949
gamma_stat_mjmeanSd0_bin_10  1.01585 +0.0965577 -0.0965577
gamma_stat_mjmeanSd0_bin_11  0.98852 +0.0628792 -0.0628792
gamma_stat_mjmeanSd0_bin_12  1.00098 +0.0504959 -0.0504959
gamma_stat_mjmeanSd0_bin_13  1.00483 +0.0413899 -0.0413899
gamma_stat_mjmeanSd0_bin_14  1.00763 +0.0321939 -0.0321939
gamma_stat_mjmeanSd0_bin_15  0.995777 +0.0286792 -0.0286792
gamma_stat_mjmeanSd0_bin_16  1.00437 +0.0278793 -0.0278793
gamma_stat_mjmeanSd0_bin_2  1.03079 +0.134987 -0.134987
gamma_stat_mjmeanSd0_bin_27  0.990535 +0.0218099 -0.0218099
gamma_stat_mjmeanSd0_bin_28  0.999309 +0.0245376 -0.0245376
gamma_stat_mjmeanSd0_bin_29  0.996808 +0.022228 -0.022228
gamma_stat_mjmeanSd0_bin_3  1.0143 +0.125306 -0.125306
