NUISANCE_PARAMETERS
BB  0.670824 +0.0523218 -0.0523218
BL  0.812653 +0.0281407 -0.0281407
CC  1.07652 +0.177886 -0.177886
CL  1.04234 +0.0598478 -0.0598478
LL  0.662707 +0.0115065 -0.0115065
ScaleFactor  1.17834 +0.0843664 -0.0843664
gamma_stat_mjmeanSd0_2TAG_bin_0  1.00588 +0.110233 -0.110233
gamma_stat_mjmeanSd0_2TAG_bin_1  0.9989 +0.0720738 -0.0720738
gamma_stat_mjmeanSd0_2TAG_bin_10  1.01512 +0.0302826 -0.0302826
gamma_stat_mjmeanSd0_2TAG_bin_11  1.01072 +0.0195556 -0.0195556
gamma_stat_mjmeanSd0_2TAG_bin_17  0.999496 +0.0208043 -0.0208043
gamma_stat_mjmeanSd0_2TAG_bin_18  0.995992 +0.0229819 -0.0229819
gamma_stat_mjmeanSd0_2TAG_bin_19  1.00081 +0.0240917 -0.0240917
gamma_stat_mjmeanSd0_2TAG_bin_2  0.991485 +0.0951437 -0.0951437
gamma_stat_mjmeanSd0_2TAG_bin_20  1.00084 +0.0270393 -0.0270393
gamma_stat_mjmeanSd0_2TAG_bin_21  0.998032 +0.0278871 -0.0278871
gamma_stat_mjmeanSd0_2TAG_bin_22  0.990597 +0.0312037 -0.0312037
gamma_stat_mjmeanSd0_2TAG_bin_23  0.991687 +0.0323766 -0.0323766
gamma_stat_mjmeanSd0_2TAG_bin_24  0.989193 +0.0392844 -0.0392844
gamma_stat_mjmeanSd0_2TAG_bin_25  1.00563 +0.0399183 -0.0399183
gamma_stat_mjmeanSd0_2TAG_bin_26  0.990153 +0.0429663 -0.0429663
gamma_stat_mjmeanSd0_2TAG_bin_27  0.995554 +0.0376174 -0.0376174
gamma_stat_mjmeanSd0_2TAG_bin_28  0.984543 +0.0547538 -0.0547538
gamma_stat_mjmeanSd0_2TAG_bin_29  0.997784 +0.0339035 -0.0339035
gamma_stat_mjmeanSd0_2TAG_bin_3  0.996189 +0.0578368 -0.0578368
gamma_stat_mjmeanSd0_2TAG_bin_30  0.998194 +0.044736 -0.044736
gamma_stat_mjmeanSd0_2TAG_bin_31  0.999014 +0.0521871 -0.0521871
gamma_stat_mjmeanSd0_2TAG_bin_4  1.00427 +0.0427876 -0.0427876
gamma_stat_mjmeanSd0_2TAG_bin_5  0.99986 +0.0503374 -0.0503374
gamma_stat_mjmeanSd0_2TAG_bin_6  0.996646 +0.0437145 -0.0437145
gamma_stat_mjmeanSd0_2TAG_bin_7  0.996364 +0.0398081 -0.0398081
gamma_stat_mjmeanSd0_2TAG_bin_8  1.00194 +0.0308627 -0.0308627
gamma_stat_mjmeanSd0_2TAG_bin_9  1.00441 +0.0272095 -0.0272095
gamma_stat_mjmeanSd0_bin_0  0.990813 +0.103886 -0.103886
gamma_stat_mjmeanSd0_bin_1  1.01816 +0.104461 -0.104461
gamma_stat_mjmeanSd0_bin_10  1.00168 +0.032502 -0.032502
gamma_stat_mjmeanSd0_bin_11  1.01287 +0.0284098 -0.0284098
gamma_stat_mjmeanSd0_bin_12  1.0005 +0.0246156 -0.0246156
gamma_stat_mjmeanSd0_bin_13  0.997678 +0.022868 -0.022868
gamma_stat_mjmeanSd0_bin_14  0.995836 +0.0189072 -0.0189072
gamma_stat_mjmeanSd0_bin_2  1.00355 +0.0672715 -0.0672715
gamma_stat_mjmeanSd0_bin_3  1.00635 +0.0823284 -0.0823284
gamma_stat_mjmeanSd0_bin_30  0.988915 +0.0207631 -0.0207631
gamma_stat_mjmeanSd0_bin_32  0.996536 +0.0237434 -0.0237434
gamma_stat_mjmeanSd0_bin_33  0.997574 +0.0233282 -0.0233282
gamma_stat_mjmeanSd0_bin_34  1.00165 +0.024997 -0.024997
gamma_stat_mjmeanSd0_bin_35  1.00444 +0.0300131 -0.0300131
gamma_stat_mjmeanSd0_bin_36  1.00236 +0.0325492 -0.0325492
gamma_stat_mjmeanSd0_bin_37  0.996467 +0.035933 -0.035933
gamma_stat_mjmeanSd0_bin_38  1.00472 +0.0369505 -0.0369505
gamma_stat_mjmeanSd0_bin_39  1.00592 +0.0375514 -0.0375514
gamma_stat_mjmeanSd0_bin_4  1.00596 +0.0733458 -0.0733458
