NUISANCE_PARAMETERS
BB  0.574304 +0.052258 -0.052258
BL  0.802696 +0.0495847 -0.0495847
CC  0.919842 +0.193216 -0.193216
CL  0.739193 +0.119372 -0.119372
LL  0.686444 +0.0172558 -0.0172558
ScaleFactor  1.04944 +0.0901899 -0.0901899
gamma_stat_mjmeanSd0_2TAG_bin_0  0.997667 +0.136405 -0.136405
gamma_stat_mjmeanSd0_2TAG_bin_1  1.00249 +0.0695262 -0.0695262
gamma_stat_mjmeanSd0_2TAG_bin_10  1.00612 +0.0229019 -0.0229019
gamma_stat_mjmeanSd0_2TAG_bin_11  1.00861 +0.0221614 -0.0221614
gamma_stat_mjmeanSd0_2TAG_bin_17  0.998052 +0.0211439 -0.0211439
gamma_stat_mjmeanSd0_2TAG_bin_18  0.9931 +0.0229597 -0.0229597
gamma_stat_mjmeanSd0_2TAG_bin_19  1.00099 +0.025894 -0.025894
gamma_stat_mjmeanSd0_2TAG_bin_2  0.991658 +0.100971 -0.100971
gamma_stat_mjmeanSd0_2TAG_bin_20  0.9935 +0.0285618 -0.0285618
gamma_stat_mjmeanSd0_2TAG_bin_21  0.99702 +0.029333 -0.029333
gamma_stat_mjmeanSd0_2TAG_bin_22  0.992292 +0.0332211 -0.0332211
gamma_stat_mjmeanSd0_2TAG_bin_23  1.0011 +0.0407786 -0.0407786
gamma_stat_mjmeanSd0_2TAG_bin_24  0.997124 +0.0387539 -0.0387539
gamma_stat_mjmeanSd0_2TAG_bin_25  0.999871 +0.0414514 -0.0414514
gamma_stat_mjmeanSd0_2TAG_bin_26  1.00073 +0.0471426 -0.0471426
gamma_stat_mjmeanSd0_2TAG_bin_27  1.00653 +0.0514997 -0.0514997
gamma_stat_mjmeanSd0_2TAG_bin_28  1.00667 +0.0596753 -0.0596753
gamma_stat_mjmeanSd0_2TAG_bin_29  0.99709 +0.0447218 -0.0447218
gamma_stat_mjmeanSd0_2TAG_bin_3  0.995634 +0.0880778 -0.0880778
gamma_stat_mjmeanSd0_2TAG_bin_30  1.00274 +0.0644348 -0.0644348
gamma_stat_mjmeanSd0_2TAG_bin_31  1.00084 +0.0413674 -0.0413674
gamma_stat_mjmeanSd0_2TAG_bin_32  1.00055 +0.060034 -0.060034
gamma_stat_mjmeanSd0_2TAG_bin_4  1.01936 +0.0842116 -0.0842116
gamma_stat_mjmeanSd0_2TAG_bin_5  0.99409 +0.0649629 -0.0649629
gamma_stat_mjmeanSd0_2TAG_bin_6  1.00707 +0.0567786 -0.0567786
gamma_stat_mjmeanSd0_2TAG_bin_7  1.01112 +0.0514345 -0.0514345
gamma_stat_mjmeanSd0_2TAG_bin_8  1.00852 +0.0413277 -0.0413277
gamma_stat_mjmeanSd0_2TAG_bin_9  1.00194 +0.0330042 -0.0330042
gamma_stat_mjmeanSd0_bin_0  0.946192 +0.198146 -0.198146
gamma_stat_mjmeanSd0_bin_1  0.973794 +0.211976 -0.211976
gamma_stat_mjmeanSd0_bin_10  1.00638 +0.072195 -0.072195
gamma_stat_mjmeanSd0_bin_11  0.998076 +0.0412838 -0.0412838
gamma_stat_mjmeanSd0_bin_12  1.00076 +0.0437749 -0.0437749
gamma_stat_mjmeanSd0_bin_13  1.00539 +0.0413608 -0.0413608
gamma_stat_mjmeanSd0_bin_14  1.00506 +0.0297429 -0.0297429
gamma_stat_mjmeanSd0_bin_15  0.996817 +0.029357 -0.029357
gamma_stat_mjmeanSd0_bin_16  1.00933 +0.023198 -0.023198
gamma_stat_mjmeanSd0_bin_17  1.01168 +0.0194811 -0.0194811
gamma_stat_mjmeanSd0_bin_2  0.990412 +0.139538 -0.139538
gamma_stat_mjmeanSd0_bin_3  1.01988 +0.112878 -0.112878
gamma_stat_mjmeanSd0_bin_30  0.99246 +0.0214677 -0.0214677
gamma_stat_mjmeanSd0_bin_31  0.993754 +0.0221906 -0.0221906
gamma_stat_mjmeanSd0_bin_32  1.00007 +0.0232309 -0.0232309
gamma_stat_mjmeanSd0_bin_33  1.00488 +0.0280856 -0.0280856
gamma_stat_mjmeanSd0_bin_34  1.0064 +0.027208 -0.027208
gamma_stat_mjmeanSd0_bin_35  1.00014 +0.0317223 -0.0317223
gamma_stat_mjmeanSd0_bin_36  1.00806 +0.0406173 -0.0406173
gamma_stat_mjmeanSd0_bin_37  1.00266 +0.0375647 -0.0375647
gamma_stat_mjmeanSd0_bin_38  0.995904 +0.0453535 -0.0453535
