NUISANCE_PARAMETERS
BB  0.676156 +0.0930829 -0.0930829
BL  0.665215 +0.100132 -0.100132
CC  0.754808 +0.338074 -0.338074
CL  0.791623 +0.261125 -0.261125
LL  0.678474 +0.0385755 -0.0385755
ScaleFactor  0.797537 +0.106529 -0.106529
gamma_stat_mjmeanSd0_2TAG_bin_0  1.00037 +0.112516 -0.112516
gamma_stat_mjmeanSd0_2TAG_bin_1  0.998936 +0.180761 -0.180761
gamma_stat_mjmeanSd0_2TAG_bin_10  0.998441 +0.0314527 -0.0314527
gamma_stat_mjmeanSd0_2TAG_bin_11  1.00018 +0.0282132 -0.0282132
gamma_stat_mjmeanSd0_2TAG_bin_12  0.999691 +0.0274039 -0.0274039
gamma_stat_mjmeanSd0_2TAG_bin_13  0.997051 +0.028699 -0.028699
gamma_stat_mjmeanSd0_2TAG_bin_14  0.998796 +0.0283201 -0.0283201
gamma_stat_mjmeanSd0_2TAG_bin_15  1.00064 +0.0308245 -0.0308245
gamma_stat_mjmeanSd0_2TAG_bin_16  0.99978 +0.0344321 -0.0344321
gamma_stat_mjmeanSd0_2TAG_bin_17  0.999897 +0.0366982 -0.0366982
gamma_stat_mjmeanSd0_2TAG_bin_18  0.998764 +0.0371668 -0.0371668
gamma_stat_mjmeanSd0_2TAG_bin_19  0.998453 +0.0409957 -0.0409957
gamma_stat_mjmeanSd0_2TAG_bin_2  1.00432 +0.144854 -0.144854
gamma_stat_mjmeanSd0_2TAG_bin_20  1.00362 +0.0500339 -0.0500339
gamma_stat_mjmeanSd0_2TAG_bin_21  0.995906 +0.0477835 -0.0477835
gamma_stat_mjmeanSd0_2TAG_bin_22  0.99846 +0.062969 -0.062969
gamma_stat_mjmeanSd0_2TAG_bin_23  1.00287 +0.0571989 -0.0571989
gamma_stat_mjmeanSd0_2TAG_bin_24  1.00118 +0.0617437 -0.0617437
gamma_stat_mjmeanSd0_2TAG_bin_25  0.997023 +0.0552821 -0.0552821
gamma_stat_mjmeanSd0_2TAG_bin_26  0.997506 +0.0619632 -0.0619632
gamma_stat_mjmeanSd0_2TAG_bin_27  1.00582 +0.0795106 -0.0795106
gamma_stat_mjmeanSd0_2TAG_bin_28  1.00071 +0.0699431 -0.0699431
gamma_stat_mjmeanSd0_2TAG_bin_29  0.999728 +0.0709269 -0.0709269
gamma_stat_mjmeanSd0_2TAG_bin_3  0.996301 +0.162965 -0.162965
gamma_stat_mjmeanSd0_2TAG_bin_30  1.00072 +0.0956344 -0.0956344
gamma_stat_mjmeanSd0_2TAG_bin_4  0.999242 +0.101202 -0.101202
gamma_stat_mjmeanSd0_2TAG_bin_5  1.01566 +0.0845262 -0.0845262
gamma_stat_mjmeanSd0_2TAG_bin_6  0.996753 +0.0859958 -0.0859958
gamma_stat_mjmeanSd0_2TAG_bin_7  1.02699 +0.0794425 -0.0794425
gamma_stat_mjmeanSd0_2TAG_bin_8  1.00438 +0.0466542 -0.0466542
gamma_stat_mjmeanSd0_2TAG_bin_9  1.00172 +0.0420583 -0.0420583
gamma_stat_mjmeanSd0_bin_0  1.18866 +0.526788 -0.526788
gamma_stat_mjmeanSd0_bin_1  0.991055 +0.241216 -0.241216
gamma_stat_mjmeanSd0_bin_10  1.02174 +0.0911169 -0.0911169
gamma_stat_mjmeanSd0_bin_11  1.00116 +0.0786942 -0.0786942
gamma_stat_mjmeanSd0_bin_12  0.982364 +0.0750495 -0.0750495
gamma_stat_mjmeanSd0_bin_13  0.988235 +0.0888581 -0.0888581
gamma_stat_mjmeanSd0_bin_14  1.0086 +0.0541533 -0.0541533
gamma_stat_mjmeanSd0_bin_15  1.00415 +0.0379973 -0.0379973
gamma_stat_mjmeanSd0_bin_16  1.00119 +0.0355376 -0.0355376
gamma_stat_mjmeanSd0_bin_17  1.00536 +0.0301022 -0.0301022
gamma_stat_mjmeanSd0_bin_18  1.0019 +0.0213857 -0.0213857
gamma_stat_mjmeanSd0_bin_2  0.974518 +0.244355 -0.244355
gamma_stat_mjmeanSd0_bin_25  0.999706 +0.0202569 -0.0202569
gamma_stat_mjmeanSd0_bin_26  0.998964 +0.023811 -0.023811
gamma_stat_mjmeanSd0_bin_27  0.989105 +0.0605314 -0.0605314
gamma_stat_mjmeanSd0_bin_28  1.00034 +0.0262599 -0.0262599
gamma_stat_mjmeanSd0_bin_29  0.997679 +0.0267935 -0.0267935
gamma_stat_mjmeanSd0_bin_3  1.01485 +0.290182 -0.290182
gamma_stat_mjmeanSd0_bin_30  1.00023 +0.0313785 -0.0313785
gamma_stat_mjmeanSd0_bin_31  0.998808 +0.0394844 -0.0394844
gamma_stat_mjmeanSd0_bin_32  0.995429 +0.0369612 -0.0369612
gamma_stat_mjmeanSd0_bin_33  0.994164 +0.0445841 -0.0445841
gamma_stat_mjmeanSd0_bin_34  1.00335 +0.0396244 -0.0396244
gamma_stat_mjmeanSd0_bin_35  0.990878 +0.0591141 -0.0591141
gamma_stat_mjmeanSd0_bin_36  0.996493 +0.0475984 -0.0475984
gamma_stat_mjmeanSd0_bin_37  1.00283 +0.0631612 -0.0631612
gamma_stat_mjmeanSd0_bin_38  1.00141 +0.0646972 -0.0646972
gamma_stat_mjmeanSd0_bin_39  1.00215 +0.0637199 -0.0637199
gamma_stat_mjmeanSd0_bin_4  0.99934 +0.147265 -0.147265
gamma_stat_mjmeanSd0_bin_40  1.00582 +0.0750053 -0.0750053
gamma_stat_mjmeanSd0_bin_41  1.02127 +0.110652 -0.110652
gamma_stat_mjmeanSd0_bin_42  0.991577 +0.0798282 -0.0798282
gamma_stat_mjmeanSd0_bin_43  1.00448 +0.0793279 -0.0793279
gamma_stat_mjmeanSd0_bin_44  0.981106 +0.132866 -0.132866
gamma_stat_mjmeanSd0_bin_45  1.01084 +0.109941 -0.109941
gamma_stat_mjmeanSd0_bin_46  0.994803 +0.114103 -0.114103
gamma_stat_mjmeanSd0_bin_47  1.01698 +0.188665 -0.188665
gamma_stat_mjmeanSd0_bin_48  1.00149 +0.132541 -0.132541
gamma_stat_mjmeanSd0_bin_49  1.02156 +0.139773 -0.139773
gamma_stat_mjmeanSd0_bin_5  1.02017 +0.137519 -0.137519
gamma_stat_mjmeanSd0_bin_50  0.997889 +0.143039 -0.143039
gamma_stat_mjmeanSd0_bin_51  0.988295 +0.131124 -0.131124
gamma_stat_mjmeanSd0_bin_52  0.996124 +0.178018 -0.178018
gamma_stat_mjmeanSd0_bin_53  0.980321 +0.206471 -0.206471
