NUISANCE_PARAMETERS
BB  0.555817 +0.0648904 -0.0648904
BL  0.706261 +0.0280767 -0.0280767
CC  1.35496 +0.194924 -0.194924
CL  0.768533 +0.0611109 -0.0611109
LL  0.633704 +0.00811507 -0.00811507
ScaleFactor  1.16679 +0.119795 -0.119795
gamma_stat_mjmeanSd0_2TAG_bin_0  0.999028 +0.106297 -0.106297
gamma_stat_mjmeanSd0_2TAG_bin_1  1.0104 +0.115303 -0.115303
gamma_stat_mjmeanSd0_2TAG_bin_10  0.999467 +0.0350787 -0.0350787
gamma_stat_mjmeanSd0_2TAG_bin_11  1.00208 +0.0296188 -0.0296188
gamma_stat_mjmeanSd0_2TAG_bin_12  0.997372 +0.0265701 -0.0265701
gamma_stat_mjmeanSd0_2TAG_bin_13  1.00338 +0.0225173 -0.0225173
gamma_stat_mjmeanSd0_2TAG_bin_2  0.988724 +0.119534 -0.119534
gamma_stat_mjmeanSd0_2TAG_bin_22  0.994663 +0.0197249 -0.0197249
gamma_stat_mjmeanSd0_2TAG_bin_23  1.00278 +0.0225045 -0.0225045
gamma_stat_mjmeanSd0_2TAG_bin_24  0.994275 +0.0274614 -0.0274614
gamma_stat_mjmeanSd0_2TAG_bin_25  1.00318 +0.0260865 -0.0260865
gamma_stat_mjmeanSd0_2TAG_bin_26  0.999198 +0.0285672 -0.0285672
gamma_stat_mjmeanSd0_2TAG_bin_27  0.993144 +0.0303268 -0.0303268
gamma_stat_mjmeanSd0_2TAG_bin_28  0.998608 +0.0346921 -0.0346921
gamma_stat_mjmeanSd0_2TAG_bin_29  0.990442 +0.0383268 -0.0383268
gamma_stat_mjmeanSd0_2TAG_bin_3  1.00192 +0.0964699 -0.0964699
gamma_stat_mjmeanSd0_2TAG_bin_30  0.996163 +0.0354693 -0.0354693
gamma_stat_mjmeanSd0_2TAG_bin_31  0.997385 +0.0318749 -0.0318749
gamma_stat_mjmeanSd0_2TAG_bin_32  1.00039 +0.0381067 -0.0381067
gamma_stat_mjmeanSd0_2TAG_bin_33  0.998885 +0.0478195 -0.0478195
gamma_stat_mjmeanSd0_2TAG_bin_34  0.998415 +0.0802332 -0.0802332
gamma_stat_mjmeanSd0_2TAG_bin_35  0.994396 +0.133505 -0.133505
gamma_stat_mjmeanSd0_2TAG_bin_36  0.998129 +0.0766323 -0.0766323
gamma_stat_mjmeanSd0_2TAG_bin_37  0.996016 +0.161928 -0.161928
gamma_stat_mjmeanSd0_2TAG_bin_4  1.00805 +0.0773055 -0.0773055
gamma_stat_mjmeanSd0_2TAG_bin_5  0.980661 +0.0867122 -0.0867122
gamma_stat_mjmeanSd0_2TAG_bin_6  0.987687 +0.0646828 -0.0646828
gamma_stat_mjmeanSd0_2TAG_bin_7  1.00341 +0.053611 -0.053611
gamma_stat_mjmeanSd0_2TAG_bin_8  0.993512 +0.0498563 -0.0498563
gamma_stat_mjmeanSd0_2TAG_bin_9  1.00018 +0.0390853 -0.0390853
gamma_stat_mjmeanSd0_bin_0  1.02176 +0.14338 -0.14338
gamma_stat_mjmeanSd0_bin_1  0.998362 +0.0970308 -0.0970308
gamma_stat_mjmeanSd0_bin_10  0.997908 +0.0363926 -0.0363926
gamma_stat_mjmeanSd0_bin_11  0.994236 +0.0310609 -0.0310609
gamma_stat_mjmeanSd0_bin_12  1.00228 +0.0267293 -0.0267293
gamma_stat_mjmeanSd0_bin_13  1.00148 +0.0200782 -0.0200782
gamma_stat_mjmeanSd0_bin_14  1.00183 +0.0191307 -0.0191307
gamma_stat_mjmeanSd0_bin_2  0.997918 +0.0814541 -0.0814541
gamma_stat_mjmeanSd0_bin_3  0.977862 +0.0993827 -0.0993827
gamma_stat_mjmeanSd0_bin_32  1.00323 +0.0206861 -0.0206861
gamma_stat_mjmeanSd0_bin_34  1.00253 +0.0234902 -0.0234902
gamma_stat_mjmeanSd0_bin_35  0.989705 +0.0259517 -0.0259517
gamma_stat_mjmeanSd0_bin_36  1.00745 +0.0318656 -0.0318656
gamma_stat_mjmeanSd0_bin_37  0.990814 +0.0327799 -0.0327799
gamma_stat_mjmeanSd0_bin_38  1.00708 +0.0348055 -0.0348055
gamma_stat_mjmeanSd0_bin_39  0.999602 +0.0430939 -0.0430939
gamma_stat_mjmeanSd0_bin_4  0.998886 +0.0706933 -0.0706933
gamma_stat_mjmeanSd0_bin_40  1.00212 +0.0384099 -0.0384099
gamma_stat_mjmeanSd0_bin_41  1.00218 +0.0444412 -0.0444412
gamma_stat_mjmeanSd0_bin_42  1.00767 +0.0473424 -0.0473424
gamma_stat_mjmeanSd0_bin_43  0.995483 +0.0525342 -0.0525342
gamma_stat_mjmeanSd0_bin_44  1.01106 +0.050938 -0.050938
gamma_stat_mjmeanSd0_bin_45  1.00885 +0.0696996 -0.0696996
gamma_stat_mjmeanSd0_bin_46  0.99562 +0.0776542 -0.0776542
gamma_stat_mjmeanSd0_bin_47  0.98178 +0.0855137 -0.0855137
gamma_stat_mjmeanSd0_bin_48  1.01129 +0.0705482 -0.0705482
gamma_stat_mjmeanSd0_bin_49  0.995526 +0.0799745 -0.0799745
gamma_stat_mjmeanSd0_bin_5  1.00921 +0.0732035 -0.0732035
gamma_stat_mjmeanSd0_bin_50  0.985561 +0.101246 -0.101246
gamma_stat_mjmeanSd0_bin_51  1.01745 +0.0892195 -0.0892195
gamma_stat_mjmeanSd0_bin_52  1.00674 +0.0923715 -0.0923715
gamma_stat_mjmeanSd0_bin_53  0.994414 +0.127501 -0.127501
gamma_stat_mjmeanSd0_bin_54  1.00462 +0.110647 -0.110647
gamma_stat_mjmeanSd0_bin_55  0.978333 +0.136009 -0.136009
gamma_stat_mjmeanSd0_bin_56  1.01938 +0.123923 -0.123923
gamma_stat_mjmeanSd0_bin_57  1.02109 +0.186298 -0.186298
gamma_stat_mjmeanSd0_bin_6  1.01474 +0.0730813 -0.0730813
gamma_stat_mjmeanSd0_bin_7  0.959221 +0.0832793 -0.0832793
gamma_stat_mjmeanSd0_bin_8  1.01274 +0.0481512 -0.0481512
gamma_stat_mjmeanSd0_bin_9  1.00649 +0.0406057 -0.0406057
gamma_stat_nmjmeanSd0_2TAG_bin_0  1.0024 +0.178484 -0.178484
gamma_stat_nmjmeanSd0_2TAG_bin_1  0.996711 +0.149436 -0.149436
gamma_stat_nmjmeanSd0_2TAG_bin_10  0.986783 +0.0597933 -0.0597933
gamma_stat_nmjmeanSd0_2TAG_bin_11  0.9921 +0.0758391 -0.0758391
gamma_stat_nmjmeanSd0_2TAG_bin_12  0.991318 +0.0482449 -0.0482449
gamma_stat_nmjmeanSd0_2TAG_bin_13  0.987137 +0.0539012 -0.0539012
gamma_stat_nmjmeanSd0_2TAG_bin_14  1.00349 +0.0355526 -0.0355526
gamma_stat_nmjmeanSd0_2TAG_bin_15  0.995096 +0.0317123 -0.0317123
gamma_stat_nmjmeanSd0_2TAG_bin_16  1.0006 +0.0312666 -0.0312666
gamma_stat_nmjmeanSd0_2TAG_bin_17  1.00624 +0.0249943 -0.0249943
gamma_stat_nmjmeanSd0_2TAG_bin_2  1.00897 +0.122521 -0.122521
gamma_stat_nmjmeanSd0_2TAG_bin_24  0.995651 +0.0214293 -0.0214293
gamma_stat_nmjmeanSd0_2TAG_bin_25  1.00294 +0.0235335 -0.0235335
gamma_stat_nmjmeanSd0_2TAG_bin_26  0.999213 +0.0292751 -0.0292751
gamma_stat_nmjmeanSd0_2TAG_bin_27  0.995767 +0.0308155 -0.0308155
gamma_stat_nmjmeanSd0_2TAG_bin_28  1.00221 +0.0293363 -0.0293363
gamma_stat_nmjmeanSd0_2TAG_bin_29  1.00071 +0.0300209 -0.0300209
gamma_stat_nmjmeanSd0_2TAG_bin_3  0.999599 +0.116288 -0.116288
gamma_stat_nmjmeanSd0_2TAG_bin_30  0.997416 +0.0356004 -0.0356004
gamma_stat_nmjmeanSd0_2TAG_bin_31  0.996911 +0.0363792 -0.0363792
gamma_stat_nmjmeanSd0_2TAG_bin_32  0.986088 +0.0407313 -0.0407313
gamma_stat_nmjmeanSd0_2TAG_bin_33  0.9945 +0.0421929 -0.0421929
gamma_stat_nmjmeanSd0_2TAG_bin_34  1.00391 +0.0488043 -0.0488043
gamma_stat_nmjmeanSd0_2TAG_bin_35  0.99727 +0.0520225 -0.0520225
gamma_stat_nmjmeanSd0_2TAG_bin_36  0.992024 +0.0497489 -0.0497489
gamma_stat_nmjmeanSd0_2TAG_bin_37  1.00245 +0.055554 -0.055554
gamma_stat_nmjmeanSd0_2TAG_bin_38  1.00799 +0.0787242 -0.0787242
gamma_stat_nmjmeanSd0_2TAG_bin_39  0.96935 +0.0784993 -0.0784993
gamma_stat_nmjmeanSd0_2TAG_bin_4  0.976141 +0.153268 -0.153268
gamma_stat_nmjmeanSd0_2TAG_bin_40  0.998534 +0.0491954 -0.0491954
gamma_stat_nmjmeanSd0_2TAG_bin_41  0.973792 +0.0867574 -0.0867574
gamma_stat_nmjmeanSd0_2TAG_bin_42  1.0091 +0.080406 -0.080406
gamma_stat_nmjmeanSd0_2TAG_bin_43  1.00095 +0.0696351 -0.0696351
gamma_stat_nmjmeanSd0_2TAG_bin_44  0.970584 +0.114892 -0.114892
gamma_stat_nmjmeanSd0_2TAG_bin_45  0.995681 +0.0988889 -0.0988889
gamma_stat_nmjmeanSd0_2TAG_bin_46  0.993336 +0.104935 -0.104935
gamma_stat_nmjmeanSd0_2TAG_bin_47  0.999654 +0.0739131 -0.0739131
gamma_stat_nmjmeanSd0_2TAG_bin_48  1.00611 +0.162094 -0.162094
gamma_stat_nmjmeanSd0_2TAG_bin_5  0.975708 +0.103394 -0.103394
gamma_stat_nmjmeanSd0_2TAG_bin_6  1.0201 +0.0908678 -0.0908678
gamma_stat_nmjmeanSd0_2TAG_bin_7  1.01269 +0.0803124 -0.0803124
gamma_stat_nmjmeanSd0_2TAG_bin_8  1.00662 +0.0883602 -0.0883602
gamma_stat_nmjmeanSd0_2TAG_bin_9  1.00841 +0.0779525 -0.0779525
gamma_stat_nmjmeanSd0_bin_0  0.929246 +0.110846 -0.110846
gamma_stat_nmjmeanSd0_bin_1  1.00324 +0.0976642 -0.0976642
gamma_stat_nmjmeanSd0_bin_10  1.00422 +0.0428209 -0.0428209
gamma_stat_nmjmeanSd0_bin_11  0.992051 +0.0359949 -0.0359949
gamma_stat_nmjmeanSd0_bin_12  0.997253 +0.0322542 -0.0322542
gamma_stat_nmjmeanSd0_bin_13  1.00308 +0.0277703 -0.0277703
gamma_stat_nmjmeanSd0_bin_14  0.993458 +0.0241136 -0.0241136
gamma_stat_nmjmeanSd0_bin_15  0.998969 +0.0206022 -0.0206022
gamma_stat_nmjmeanSd0_bin_2  1.0338 +0.0782417 -0.0782417
gamma_stat_nmjmeanSd0_bin_26  0.999591 +0.0200725 -0.0200725
gamma_stat_nmjmeanSd0_bin_27  0.975645 +0.0249991 -0.0249991
gamma_stat_nmjmeanSd0_bin_28  0.992843 +0.0265959 -0.0265959
gamma_stat_nmjmeanSd0_bin_29  1.00292 +0.027547 -0.027547
gamma_stat_nmjmeanSd0_bin_3  0.930138 +0.0833478 -0.0833478
gamma_stat_nmjmeanSd0_bin_30  0.99761 +0.0301848 -0.0301848
gamma_stat_nmjmeanSd0_bin_31  1.00792 +0.0326614 -0.0326614
gamma_stat_nmjmeanSd0_bin_32  1.01435 +0.0353156 -0.0353156
gamma_stat_nmjmeanSd0_bin_33  0.985613 +0.0368354 -0.0368354
gamma_stat_nmjmeanSd0_bin_34  1.00923 +0.0383449 -0.0383449
gamma_stat_nmjmeanSd0_bin_35  1.01198 +0.0459563 -0.0459563
gamma_stat_nmjmeanSd0_bin_36  1.02301 +0.0523519 -0.0523519
gamma_stat_nmjmeanSd0_bin_37  1.00528 +0.0565731 -0.0565731
gamma_stat_nmjmeanSd0_bin_38  1.00738 +0.0576725 -0.0576725
gamma_stat_nmjmeanSd0_bin_39  1.0194 +0.0565516 -0.0565516
gamma_stat_nmjmeanSd0_bin_4  1.03643 +0.0705316 -0.0705316
