NUISANCE_PARAMETERS
BB  0.745517 +0.0302747 -0.0302747
BL  0.786636 +0.022642 -0.022642
CC  1.31938 +0.121045 -0.121045
CL  0.911301 +0.0566603 -0.0566603
LL  0.785247 +0.0134131 -0.0134131
ScaleFactor  1.11018 +0.0429409 -0.0429409
gamma_stat_mjmeanSd0_2TAG_bin_0  0.999463 +0.0447265 -0.0447265
gamma_stat_mjmeanSd0_2TAG_bin_1  0.995255 +0.0544711 -0.0544711
gamma_stat_mjmeanSd0_2TAG_bin_19  0.99459 +0.0195708 -0.0195708
gamma_stat_mjmeanSd0_2TAG_bin_2  1.00765 +0.0445374 -0.0445374
gamma_stat_mjmeanSd0_2TAG_bin_20  0.998204 +0.0209295 -0.0209295
gamma_stat_mjmeanSd0_2TAG_bin_21  0.993236 +0.0223833 -0.0223833
gamma_stat_mjmeanSd0_2TAG_bin_22  0.998488 +0.0227524 -0.0227524
gamma_stat_mjmeanSd0_2TAG_bin_23  0.997794 +0.0250837 -0.0250837
gamma_stat_mjmeanSd0_2TAG_bin_24  0.986514 +0.0277584 -0.0277584
gamma_stat_mjmeanSd0_2TAG_bin_25  0.993297 +0.0233246 -0.0233246
gamma_stat_mjmeanSd0_2TAG_bin_26  0.991439 +0.0233517 -0.0233517
gamma_stat_mjmeanSd0_2TAG_bin_27  0.99436 +0.035888 -0.035888
gamma_stat_mjmeanSd0_2TAG_bin_28  0.993113 +0.039919 -0.039919
gamma_stat_mjmeanSd0_2TAG_bin_29  0.995489 +0.0273809 -0.0273809
gamma_stat_mjmeanSd0_2TAG_bin_3  1.00683 +0.0414715 -0.0414715
gamma_stat_mjmeanSd0_2TAG_bin_4  0.990008 +0.0449318 -0.0449318
gamma_stat_mjmeanSd0_2TAG_bin_5  0.985639 +0.0361591 -0.0361591
gamma_stat_mjmeanSd0_2TAG_bin_6  1.00969 +0.0361976 -0.0361976
gamma_stat_mjmeanSd0_2TAG_bin_7  1.01001 +0.0284333 -0.0284333
gamma_stat_mjmeanSd0_2TAG_bin_8  1.01204 +0.0250175 -0.0250175
gamma_stat_mjmeanSd0_bin_0  1.01333 +0.115441 -0.115441
gamma_stat_mjmeanSd0_bin_1  1.00661 +0.0752352 -0.0752352
gamma_stat_mjmeanSd0_bin_10  1.00353 +0.031938 -0.031938
gamma_stat_mjmeanSd0_bin_11  1.0068 +0.0264969 -0.0264969
gamma_stat_mjmeanSd0_bin_12  1.01565 +0.0220896 -0.0220896
gamma_stat_mjmeanSd0_bin_13  0.998467 +0.0201654 -0.0201654
gamma_stat_mjmeanSd0_bin_14  0.996609 +0.0188255 -0.0188255
gamma_stat_mjmeanSd0_bin_2  1.02729 +0.11372 -0.11372
gamma_stat_mjmeanSd0_bin_3  1.02193 +0.0660951 -0.0660951
gamma_stat_mjmeanSd0_bin_33  0.994464 +0.0204651 -0.0204651
gamma_stat_mjmeanSd0_bin_36  0.992698 +0.0192943 -0.0192943
gamma_stat_mjmeanSd0_bin_37  0.985713 +0.021557 -0.021557
gamma_stat_mjmeanSd0_bin_38  0.99763 +0.0216446 -0.0216446
gamma_stat_mjmeanSd0_bin_39  0.990238 +0.0259713 -0.0259713
gamma_stat_mjmeanSd0_bin_4  1.03561 +0.0811718 -0.0811718
gamma_stat_mjmeanSd0_bin_40  0.998858 +0.0260063 -0.0260063
gamma_stat_mjmeanSd0_bin_41  0.995051 +0.0281564 -0.0281564
gamma_stat_mjmeanSd0_bin_42  0.994452 +0.0318349 -0.0318349
gamma_stat_mjmeanSd0_bin_43  1.01114 +0.0430622 -0.0430622
gamma_stat_mjmeanSd0_bin_44  0.996736 +0.0344492 -0.0344492
gamma_stat_mjmeanSd0_bin_45  1.00201 +0.0369276 -0.0369276
gamma_stat_mjmeanSd0_bin_46  1.00969 +0.0424171 -0.0424171
gamma_stat_mjmeanSd0_bin_47  1.00602 +0.0410565 -0.0410565
gamma_stat_mjmeanSd0_bin_48  0.990597 +0.0499747 -0.0499747
gamma_stat_mjmeanSd0_bin_49  1.00923 +0.0465348 -0.0465348
gamma_stat_mjmeanSd0_bin_5  0.989509 +0.0498093 -0.0498093
gamma_stat_mjmeanSd0_bin_50  0.9908 +0.0496231 -0.0496231
gamma_stat_mjmeanSd0_bin_51  0.997399 +0.0608309 -0.0608309
gamma_stat_mjmeanSd0_bin_52  0.988494 +0.0589672 -0.0589672
gamma_stat_mjmeanSd0_bin_53  0.995594 +0.0617929 -0.0617929
gamma_stat_mjmeanSd0_bin_54  0.995422 +0.072435 -0.072435
gamma_stat_mjmeanSd0_bin_55  0.99841 +0.0567698 -0.0567698
gamma_stat_mjmeanSd0_bin_56  0.99098 +0.0527845 -0.0527845
gamma_stat_mjmeanSd0_bin_6  1.00014 +0.0515299 -0.0515299
gamma_stat_mjmeanSd0_bin_7  0.941568 +0.0543812 -0.0543812
gamma_stat_mjmeanSd0_bin_8  1.01009 +0.0400912 -0.0400912
gamma_stat_mjmeanSd0_bin_9  1.00578 +0.0341432 -0.0341432
gamma_stat_nmjmeanSd0_2TAG_bin_0  1.00108 +0.158123 -0.158123
gamma_stat_nmjmeanSd0_2TAG_bin_1  0.999765 +0.0678943 -0.0678943
gamma_stat_nmjmeanSd0_2TAG_bin_17  0.992464 +0.0197549 -0.0197549
gamma_stat_nmjmeanSd0_2TAG_bin_18  0.990365 +0.0202267 -0.0202267
gamma_stat_nmjmeanSd0_2TAG_bin_19  0.990087 +0.0214062 -0.0214062
gamma_stat_nmjmeanSd0_2TAG_bin_2  1.02582 +0.146873 -0.146873
gamma_stat_nmjmeanSd0_2TAG_bin_20  0.987549 +0.0229161 -0.0229161
gamma_stat_nmjmeanSd0_2TAG_bin_21  0.992227 +0.0253285 -0.0253285
gamma_stat_nmjmeanSd0_2TAG_bin_22  0.98659 +0.0281956 -0.0281956
gamma_stat_nmjmeanSd0_2TAG_bin_23  0.999638 +0.033116 -0.033116
gamma_stat_nmjmeanSd0_2TAG_bin_24  0.994601 +0.0323189 -0.0323189
gamma_stat_nmjmeanSd0_2TAG_bin_25  0.982732 +0.040147 -0.040147
gamma_stat_nmjmeanSd0_2TAG_bin_26  0.993238 +0.0372716 -0.0372716
gamma_stat_nmjmeanSd0_2TAG_bin_27  0.998035 +0.0369339 -0.0369339
gamma_stat_nmjmeanSd0_2TAG_bin_28  0.977222 +0.039845 -0.039845
gamma_stat_nmjmeanSd0_2TAG_bin_29  1.00003 +0.0481315 -0.0481315
gamma_stat_nmjmeanSd0_2TAG_bin_3  0.992764 +0.0726828 -0.0726828
gamma_stat_nmjmeanSd0_2TAG_bin_30  0.997623 +0.0301628 -0.0301628
gamma_stat_nmjmeanSd0_2TAG_bin_31  1.0029 +0.0491096 -0.0491096
gamma_stat_nmjmeanSd0_2TAG_bin_32  1.00469 +0.0564121 -0.0564121
gamma_stat_nmjmeanSd0_2TAG_bin_33  0.99878 +0.0427766 -0.0427766
gamma_stat_nmjmeanSd0_2TAG_bin_4  1.00422 +0.0345116 -0.0345116
gamma_stat_nmjmeanSd0_2TAG_bin_5  0.997908 +0.0484986 -0.0484986
gamma_stat_nmjmeanSd0_2TAG_bin_6  1.01619 +0.045903 -0.045903
gamma_stat_nmjmeanSd0_2TAG_bin_7  1.00537 +0.0328889 -0.0328889
gamma_stat_nmjmeanSd0_2TAG_bin_8  1.00085 +0.0278533 -0.0278533
gamma_stat_nmjmeanSd0_2TAG_bin_9  0.997332 +0.022987 -0.022987
gamma_stat_nmjmeanSd0_bin_0  1.00628 +0.121071 -0.121071
gamma_stat_nmjmeanSd0_bin_1  1.00192 +0.24778 -0.24778
gamma_stat_nmjmeanSd0_bin_10  0.998615 +0.05738 -0.05738
gamma_stat_nmjmeanSd0_bin_11  1.04361 +0.0599168 -0.0599168
gamma_stat_nmjmeanSd0_bin_12  1.02009 +0.0492256 -0.0492256
gamma_stat_nmjmeanSd0_bin_13  1.00243 +0.0373971 -0.0373971
gamma_stat_nmjmeanSd0_bin_14  1.00525 +0.0377097 -0.0377097
gamma_stat_nmjmeanSd0_bin_15  1.01798 +0.0314967 -0.0314967
gamma_stat_nmjmeanSd0_bin_16  1.00641 +0.0205189 -0.0205189
gamma_stat_nmjmeanSd0_bin_2  0.976445 +0.153365 -0.153365
gamma_stat_nmjmeanSd0_bin_27  1.0107 +0.0189093 -0.0189093
gamma_stat_nmjmeanSd0_bin_28  1.0021 +0.0217213 -0.0217213
gamma_stat_nmjmeanSd0_bin_29  0.992315 +0.0230188 -0.0230188
gamma_stat_nmjmeanSd0_bin_3  1.23129 +0.162419 -0.162419
gamma_stat_nmjmeanSd0_bin_30  1.00356 +0.0249386 -0.0249386
gamma_stat_nmjmeanSd0_bin_31  0.987348 +0.0298002 -0.0298002
gamma_stat_nmjmeanSd0_bin_32  1.02381 +0.0414106 -0.0414106
gamma_stat_nmjmeanSd0_bin_33  0.999957 +0.0298933 -0.0298933
gamma_stat_nmjmeanSd0_bin_34  1.00267 +0.0322028 -0.0322028
gamma_stat_nmjmeanSd0_bin_35  0.988605 +0.0398298 -0.0398298
gamma_stat_nmjmeanSd0_bin_36  0.995084 +0.0375158 -0.0375158
gamma_stat_nmjmeanSd0_bin_37  0.978014 +0.040232 -0.040232
gamma_stat_nmjmeanSd0_bin_38  1.004 +0.0477016 -0.0477016
gamma_stat_nmjmeanSd0_bin_39  0.948978 +0.0568658 -0.0568658
gamma_stat_nmjmeanSd0_bin_4  1.05737 +0.135661 -0.135661
gamma_stat_nmjmeanSd0_bin_40  1.02306 +0.0553435 -0.0553435
