NUISANCE_PARAMETERS
BB  0.636175 +0.0228029 -0.0228029
BL  0.626159 +0.0196408 -0.0196408
CC  1.08336 +0.0817419 -0.0817419
CL  0.896572 +0.0499097 -0.0499097
LL  0.727716 +0.00975039 -0.00975039
ScaleFactor  1.07664 +0.035673 -0.035673
gamma_stat_mjmeanSd0_2TAG_bin_0  0.998882 +0.0932406 -0.0932406
gamma_stat_mjmeanSd0_2TAG_bin_1  1.00751 +0.0840537 -0.0840537
gamma_stat_mjmeanSd0_2TAG_bin_10  0.995156 +0.0440498 -0.0440498
gamma_stat_mjmeanSd0_2TAG_bin_11  0.997499 +0.031902 -0.031902
gamma_stat_mjmeanSd0_2TAG_bin_12  0.998649 +0.0280912 -0.0280912
gamma_stat_mjmeanSd0_2TAG_bin_13  1.00287 +0.0254087 -0.0254087
gamma_stat_mjmeanSd0_2TAG_bin_14  1.0055 +0.0219445 -0.0219445
gamma_stat_mjmeanSd0_2TAG_bin_15  1.00104 +0.019906 -0.019906
gamma_stat_mjmeanSd0_2TAG_bin_2  0.982806 +0.0772705 -0.0772705
gamma_stat_mjmeanSd0_2TAG_bin_3  1.00038 +0.0879423 -0.0879423
gamma_stat_mjmeanSd0_2TAG_bin_32  0.994237 +0.0199832 -0.0199832
gamma_stat_mjmeanSd0_2TAG_bin_33  0.995407 +0.0221437 -0.0221437
gamma_stat_mjmeanSd0_2TAG_bin_34  0.987169 +0.0233673 -0.0233673
gamma_stat_mjmeanSd0_2TAG_bin_35  0.994082 +0.0242837 -0.0242837
gamma_stat_mjmeanSd0_2TAG_bin_36  0.99334 +0.0259592 -0.0259592
gamma_stat_mjmeanSd0_2TAG_bin_37  0.98549 +0.0279627 -0.0279627
gamma_stat_mjmeanSd0_2TAG_bin_38  0.989075 +0.0291824 -0.0291824
gamma_stat_mjmeanSd0_2TAG_bin_39  0.999417 +0.0274637 -0.0274637
gamma_stat_mjmeanSd0_2TAG_bin_4  0.994525 +0.0673446 -0.0673446
gamma_stat_mjmeanSd0_2TAG_bin_40  0.99231 +0.0348695 -0.0348695
gamma_stat_mjmeanSd0_2TAG_bin_41  0.996578 +0.0372285 -0.0372285
gamma_stat_mjmeanSd0_2TAG_bin_42  0.995633 +0.0312417 -0.0312417
gamma_stat_mjmeanSd0_2TAG_bin_43  1.00048 +0.040076 -0.040076
gamma_stat_mjmeanSd0_2TAG_bin_44  0.994369 +0.0453 -0.0453
gamma_stat_mjmeanSd0_2TAG_bin_45  0.988708 +0.0427125 -0.0427125
gamma_stat_mjmeanSd0_2TAG_bin_46  0.994144 +0.0451596 -0.0451596
gamma_stat_mjmeanSd0_2TAG_bin_47  0.998589 +0.027588 -0.027588
gamma_stat_mjmeanSd0_2TAG_bin_48  1.00347 +0.0707268 -0.0707268
gamma_stat_mjmeanSd0_2TAG_bin_5  0.991662 +0.0577724 -0.0577724
gamma_stat_mjmeanSd0_2TAG_bin_6  1.0147 +0.0585156 -0.0585156
gamma_stat_mjmeanSd0_2TAG_bin_7  0.998029 +0.0473942 -0.0473942
gamma_stat_mjmeanSd0_2TAG_bin_8  0.994686 +0.0442218 -0.0442218
gamma_stat_mjmeanSd0_2TAG_bin_9  0.99828 +0.0427724 -0.0427724
gamma_stat_mjmeanSd0_bin_0  1.0041 +0.0612039 -0.0612039
gamma_stat_mjmeanSd0_bin_1  1.00695 +0.0625966 -0.0625966
gamma_stat_mjmeanSd0_bin_10  0.998411 +0.0246587 -0.0246587
gamma_stat_mjmeanSd0_bin_11  1.00676 +0.0210259 -0.0210259
gamma_stat_mjmeanSd0_bin_12  0.991438 +0.0219644 -0.0219644
gamma_stat_mjmeanSd0_bin_2  0.996962 +0.0649379 -0.0649379
gamma_stat_mjmeanSd0_bin_3  0.976841 +0.0758962 -0.0758962
gamma_stat_mjmeanSd0_bin_4  1.00492 +0.0585711 -0.0585711
gamma_stat_mjmeanSd0_bin_40  0.985615 +0.0249893 -0.0249893
gamma_stat_mjmeanSd0_bin_41  1.00404 +0.0215685 -0.0215685
gamma_stat_mjmeanSd0_bin_42  0.995797 +0.0236249 -0.0236249
gamma_stat_mjmeanSd0_bin_43  0.997133 +0.0250145 -0.0250145
gamma_stat_mjmeanSd0_bin_44  1.00298 +0.0243757 -0.0243757
gamma_stat_mjmeanSd0_bin_45  0.999611 +0.0307107 -0.0307107
gamma_stat_mjmeanSd0_bin_46  1.00382 +0.0274815 -0.0274815
gamma_stat_mjmeanSd0_bin_47  0.99589 +0.028419 -0.028419
gamma_stat_mjmeanSd0_bin_48  0.991947 +0.0330831 -0.0330831
gamma_stat_mjmeanSd0_bin_49  0.991788 +0.0362983 -0.0362983
gamma_stat_mjmeanSd0_bin_5  1.00236 +0.0456676 -0.0456676
gamma_stat_mjmeanSd0_bin_50  0.993313 +0.0382534 -0.0382534
gamma_stat_mjmeanSd0_bin_51  0.988776 +0.0390855 -0.0390855
gamma_stat_mjmeanSd0_bin_52  1.01139 +0.0568704 -0.0568704
gamma_stat_mjmeanSd0_bin_53  1.00238 +0.043839 -0.043839
gamma_stat_mjmeanSd0_bin_54  0.996449 +0.046373 -0.046373
gamma_stat_mjmeanSd0_bin_55  1.00296 +0.0522243 -0.0522243
gamma_stat_mjmeanSd0_bin_56  0.997538 +0.0510204 -0.0510204
gamma_stat_mjmeanSd0_bin_57  0.983264 +0.0574338 -0.0574338
gamma_stat_mjmeanSd0_bin_58  1.00335 +0.0642465 -0.0642465
gamma_stat_mjmeanSd0_bin_59  0.989804 +0.0695665 -0.0695665
gamma_stat_mjmeanSd0_bin_6  0.999732 +0.0395789 -0.0395789
gamma_stat_mjmeanSd0_bin_7  0.997637 +0.0344873 -0.0344873
gamma_stat_mjmeanSd0_bin_8  1.01449 +0.0324596 -0.0324596
gamma_stat_mjmeanSd0_bin_9  1.00765 +0.0269201 -0.0269201
gamma_stat_nmjmeanSd0_2TAG_bin_0  0.995051 +0.152603 -0.152603
gamma_stat_nmjmeanSd0_2TAG_bin_1  0.998253 +0.136796 -0.136796
gamma_stat_nmjmeanSd0_2TAG_bin_10  1.0021 +0.0482757 -0.0482757
gamma_stat_nmjmeanSd0_2TAG_bin_11  1.00853 +0.0366155 -0.0366155
gamma_stat_nmjmeanSd0_2TAG_bin_12  1.01263 +0.0348409 -0.0348409
gamma_stat_nmjmeanSd0_2TAG_bin_13  0.9997 +0.0271969 -0.0271969
gamma_stat_nmjmeanSd0_2TAG_bin_14  1.00822 +0.0217167 -0.0217167
gamma_stat_nmjmeanSd0_2TAG_bin_2  0.992381 +0.0843181 -0.0843181
gamma_stat_nmjmeanSd0_2TAG_bin_28  0.992229 +0.0273016 -0.0273016
gamma_stat_nmjmeanSd0_2TAG_bin_29  0.994581 +0.0216159 -0.0216159
gamma_stat_nmjmeanSd0_2TAG_bin_3  1.00097 +0.110537 -0.110537
gamma_stat_nmjmeanSd0_2TAG_bin_30  0.996404 +0.0245819 -0.0245819
gamma_stat_nmjmeanSd0_2TAG_bin_31  0.994517 +0.0272531 -0.0272531
gamma_stat_nmjmeanSd0_2TAG_bin_32  0.991933 +0.0293749 -0.0293749
gamma_stat_nmjmeanSd0_2TAG_bin_33  0.98626 +0.0333021 -0.0333021
gamma_stat_nmjmeanSd0_2TAG_bin_34  0.98447 +0.0355447 -0.0355447
gamma_stat_nmjmeanSd0_2TAG_bin_35  0.987069 +0.0402815 -0.0402815
gamma_stat_nmjmeanSd0_2TAG_bin_36  0.991143 +0.0414533 -0.0414533
gamma_stat_nmjmeanSd0_2TAG_bin_37  1.00748 +0.0452057 -0.0452057
gamma_stat_nmjmeanSd0_2TAG_bin_38  0.998815 +0.0351824 -0.0351824
gamma_stat_nmjmeanSd0_2TAG_bin_39  0.987534 +0.0580312 -0.0580312
gamma_stat_nmjmeanSd0_2TAG_bin_4  1.00383 +0.102699 -0.102699
gamma_stat_nmjmeanSd0_2TAG_bin_40  0.995394 +0.0403565 -0.0403565
gamma_stat_nmjmeanSd0_2TAG_bin_41  1.00121 +0.0562208 -0.0562208
gamma_stat_nmjmeanSd0_2TAG_bin_42  0.999242 +0.0422912 -0.0422912
gamma_stat_nmjmeanSd0_2TAG_bin_5  1.01027 +0.115143 -0.115143
gamma_stat_nmjmeanSd0_2TAG_bin_6  1.03711 +0.087185 -0.087185
gamma_stat_nmjmeanSd0_2TAG_bin_7  0.996812 +0.071084 -0.071084
gamma_stat_nmjmeanSd0_2TAG_bin_8  1.01778 +0.0572946 -0.0572946
gamma_stat_nmjmeanSd0_2TAG_bin_9  1.00466 +0.0541171 -0.0541171
gamma_stat_nmjmeanSd0_bin_0  1.04906 +0.131491 -0.131491
gamma_stat_nmjmeanSd0_bin_1  1.02893 +0.131285 -0.131285
gamma_stat_nmjmeanSd0_bin_10  1.03969 +0.0433166 -0.0433166
gamma_stat_nmjmeanSd0_bin_11  1.01569 +0.0473009 -0.0473009
gamma_stat_nmjmeanSd0_bin_12  1.0413 +0.0409928 -0.0409928
gamma_stat_nmjmeanSd0_bin_13  1.02968 +0.03675 -0.03675
gamma_stat_nmjmeanSd0_bin_14  1.01679 +0.0299314 -0.0299314
gamma_stat_nmjmeanSd0_bin_15  1.01108 +0.0232513 -0.0232513
gamma_stat_nmjmeanSd0_bin_2  0.975806 +0.141217 -0.141217
gamma_stat_nmjmeanSd0_bin_3  1.06677 +0.150982 -0.150982
gamma_stat_nmjmeanSd0_bin_31  0.998059 +0.0212783 -0.0212783
gamma_stat_nmjmeanSd0_bin_32  1.0025 +0.0202067 -0.0202067
gamma_stat_nmjmeanSd0_bin_33  1.00277 +0.0217955 -0.0217955
gamma_stat_nmjmeanSd0_bin_34  0.992242 +0.0254269 -0.0254269
