NUISANCE_PARAMETERS
BB  0.647863 +0.059729 -0.059729
BL  0.849739 +0.0390528 -0.0390528
CC  1.4356 +0.223425 -0.223425
CL  0.99258 +0.0840153 -0.0840153
LL  0.817507 +0.0175269 -0.0175269
ScaleFactor  1.31561 +0.1125 -0.1125
gamma_stat_mjmeanSd0_2TAG_bin_0  1.00731 +0.100627 -0.100627
gamma_stat_mjmeanSd0_2TAG_bin_1  0.996232 +0.0690392 -0.0690392
gamma_stat_mjmeanSd0_2TAG_bin_10  0.998572 +0.0381866 -0.0381866
gamma_stat_mjmeanSd0_2TAG_bin_11  1.01024 +0.0346489 -0.0346489
gamma_stat_mjmeanSd0_2TAG_bin_12  1.02955 +0.0278479 -0.0278479
gamma_stat_mjmeanSd0_2TAG_bin_13  1.01226 +0.0239673 -0.0239673
gamma_stat_mjmeanSd0_2TAG_bin_14  1.00797 +0.0223168 -0.0223168
gamma_stat_mjmeanSd0_2TAG_bin_15  0.99527 +0.0231676 -0.0231676
gamma_stat_mjmeanSd0_2TAG_bin_16  1.00489 +0.0245501 -0.0245501
gamma_stat_mjmeanSd0_2TAG_bin_17  0.996083 +0.0282318 -0.0282318
gamma_stat_mjmeanSd0_2TAG_bin_18  0.996541 +0.026025 -0.026025
gamma_stat_mjmeanSd0_2TAG_bin_19  0.992361 +0.0285268 -0.0285268
gamma_stat_mjmeanSd0_2TAG_bin_2  1.00617 +0.101589 -0.101589
gamma_stat_mjmeanSd0_2TAG_bin_20  1.00572 +0.0309 -0.0309
gamma_stat_mjmeanSd0_2TAG_bin_21  0.993194 +0.0322635 -0.0322635
gamma_stat_mjmeanSd0_2TAG_bin_22  1.009 +0.0349223 -0.0349223
gamma_stat_mjmeanSd0_2TAG_bin_23  0.987302 +0.0366827 -0.0366827
gamma_stat_mjmeanSd0_2TAG_bin_24  0.990266 +0.0321071 -0.0321071
gamma_stat_mjmeanSd0_2TAG_bin_25  0.97942 +0.0446403 -0.0446403
gamma_stat_mjmeanSd0_2TAG_bin_26  0.986688 +0.0451383 -0.0451383
gamma_stat_mjmeanSd0_2TAG_bin_27  0.995434 +0.0511997 -0.0511997
gamma_stat_mjmeanSd0_2TAG_bin_28  0.997829 +0.030417 -0.030417
gamma_stat_mjmeanSd0_2TAG_bin_29  0.999002 +0.044216 -0.044216
gamma_stat_mjmeanSd0_2TAG_bin_3  1.00167 +0.0877333 -0.0877333
gamma_stat_mjmeanSd0_2TAG_bin_4  0.993573 +0.0765335 -0.0765335
gamma_stat_mjmeanSd0_2TAG_bin_5  0.991368 +0.0857211 -0.0857211
gamma_stat_mjmeanSd0_2TAG_bin_6  0.991868 +0.0591733 -0.0591733
gamma_stat_mjmeanSd0_2TAG_bin_7  1.01436 +0.0579751 -0.0579751
gamma_stat_mjmeanSd0_2TAG_bin_8  1.00292 +0.0510186 -0.0510186
gamma_stat_mjmeanSd0_2TAG_bin_9  0.998851 +0.0440486 -0.0440486
gamma_stat_mjmeanSd0_bin_0  1.01538 +0.0933729 -0.0933729
gamma_stat_mjmeanSd0_bin_1  1.02511 +0.090574 -0.090574
gamma_stat_mjmeanSd0_bin_10  0.919029 +0.0561784 -0.0561784
gamma_stat_mjmeanSd0_bin_11  0.996953 +0.0338322 -0.0338322
gamma_stat_mjmeanSd0_bin_12  1.00478 +0.0298072 -0.0298072
gamma_stat_mjmeanSd0_bin_13  0.993764 +0.0250329 -0.0250329
gamma_stat_mjmeanSd0_bin_14  0.99848 +0.0232927 -0.0232927
gamma_stat_mjmeanSd0_bin_15  0.998166 +0.0199868 -0.0199868
gamma_stat_mjmeanSd0_bin_2  0.993365 +0.101595 -0.101595
gamma_stat_mjmeanSd0_bin_28  1.01002 +0.0192468 -0.0192468
gamma_stat_mjmeanSd0_bin_29  0.998773 +0.0213257 -0.0213257
gamma_stat_mjmeanSd0_bin_3  1.03147 +0.0922088 -0.0922088
gamma_stat_mjmeanSd0_bin_30  1.00494 +0.0228954 -0.0228954
gamma_stat_mjmeanSd0_bin_31  0.985425 +0.0254802 -0.0254802
gamma_stat_mjmeanSd0_bin_32  0.993212 +0.0262272 -0.0262272
gamma_stat_mjmeanSd0_bin_33  0.983655 +0.031983 -0.031983
gamma_stat_mjmeanSd0_bin_34  1.00288 +0.0354153 -0.0354153
gamma_stat_mjmeanSd0_bin_35  1.00251 +0.0326769 -0.0326769
gamma_stat_mjmeanSd0_bin_36  0.989079 +0.0403045 -0.0403045
gamma_stat_mjmeanSd0_bin_37  0.9951 +0.0383776 -0.0383776
